alcohol,total sulfur dioxide,volatile acidity,fixed acidity,residual sugar,chlorides,free sulfur dioxide,pH,sulphates,citric acid,density
10.7,14.0,0.5,9.4,3.6,0.082,5.0,3.29,0.52,0.34,0.9987
10.7,47.0,0.91,7.8,1.9,0.058,22.0,3.51,0.43,0.07,0.99525
9.7,48.0,0.59,9.4,2.0,0.084,25.0,3.14,0.56,0.14,0.9981
9.5,86.0,0.775,7.7,1.9,0.092,8.0,3.23,0.59,0.42,0.9959
11.2,24.0,0.56,6.8,1.8,0.074,15.0,3.4,0.82,0.22,0.99438
10.1,20.0,0.67,7.3,3.6,0.107,6.0,3.4,0.63,0.05,0.9972
12.0,44.0,0.34,6.5,2.8,0.067,8.0,3.21,0.56,0.27,0.99384
11.7,27.0,0.29,9.1,2.05,0.063,13.0,3.26,0.84,0.33,0.99516
9.5,108.0,0.56,7.8,2.0,0.081,17.0,3.32,0.54,0.19,0.9962
11.3,47.0,0.26,8.2,2.5,0.073,16.0,3.4,0.78,0.34,0.99594
12.7,20.0,0.33,8.3,2.3,0.07,9.0,3.38,0.77,0.42,0.99426
9.4,143.0,0.685,9.4,2.4,0.082,23.0,3.28,0.55,0.26,0.9978
11.6,19.0,0.44,10.0,2.7,0.077,11.0,3.23,0.63,0.49,0.9963
10.5,41.0,0.6,11.4,2.7,0.085,10.0,3.15,0.63,0.49,0.9994
10.9,60.0,0.635,8.2,2.1,0.073,25.0,3.29,0.75,0.1,0.99638
9.3,49.0,0.37,7.9,1.8,0.077,23.0,3.28,0.67,0.23,0.9963
9.3,110.0,0.61,8.9,2.0,0.27,23.0,3.12,1.02,0.49,0.9972
9.6,38.0,0.47,6.8,2.2,0.064,18.0,3.3,0.65,0.08,0.99553
11.3,41.0,0.41,12.6,2.8,0.103,19.0,3.21,0.76,0.54,0.99939
8.7,55.0,0.42,8.2,2.6,0.084,32.0,3.34,0.75,0.49,0.9988
11.7,20.0,0.48,10.6,2.2,0.111,6.0,3.26,0.66,0.64,0.997
11.2,47.0,0.88,6.5,5.6,0.079,23.0,3.58,0.5,0.03,0.99572
9.5,101.0,0.39,11.1,2.7,0.095,21.0,3.13,0.51,0.54,1.0001
9.2,39.0,0.42,7.0,1.6,0.088,16.0,3.34,0.55,0.35,0.9961
11.2,24.0,0.39,6.2,2.0,0.071,14.0,3.45,0.87,0.43,0.99428
11.1,10.0,0.21,9.1,1.6,0.067,6.0,3.23,0.58,0.37,0.99552
10.6,17.0,0.37,10.1,2.4,0.085,5.0,3.17,0.65,0.34,0.99683
9.3,46.0,0.61,8.8,2.8,0.088,17.0,3.26,0.51,0.3,0.9976
14.0,63.0,0.34,5.2,1.8,0.05,27.0,3.68,0.79,0.0,0.9916
9.3,55.0,0.665,7.6,1.5,0.066,27.0,3.39,0.51,0.1,0.99655
9.25,65.0,0.84,6.9,4.1,0.074,16.0,3.53,0.72,0.21,0.99842
9.3,62.0,0.62,6.7,1.9,0.079,8.0,3.52,0.58,0.21,0.997
10.1,32.0,0.32,6.1,1.8,0.086,5.0,3.36,0.44,0.25,0.99464
9.7,31.0,0.65,7.2,2.3,0.094,5.0,3.67,0.8,0.02,0.9993
10.3,11.0,0.33,7.3,2.1,0.077,5.0,3.33,0.53,0.47,0.9958
10.0,69.0,0.61,8.8,4.0,0.094,30.0,3.22,0.5,0.19,0.99787
9.3,45.0,0.33,7.9,1.7,0.077,18.0,3.29,0.65,0.23,0.99625
9.4,83.0,0.605,6.9,10.7,0.073,40.0,3.45,0.52,0.12,0.9993
9.8,39.0,0.53,7.7,1.7,0.074,9.0,3.35,0.48,0.06,0.99615
9.2,148.0,0.62,8.9,3.9,0.17,51.0,3.17,0.93,0.19,0.9986
11.7,24.0,0.3,9.1,2.0,0.068,10.0,3.27,0.85,0.41,0.99523
10.0,73.0,0.6,9.0,2.0,0.069,32.0,3.34,0.57,0.29,0.99654
11.8,67.0,0.56,9.5,2.4,0.089,35.0,3.28,0.73,0.33,0.9972
9.6,65.0,0.63,9.2,2.7,0.097,29.0,3.28,0.58,0.21,0.9988
11.2,51.0,0.55,5.9,2.2,0.062,39.0,3.52,0.76,0.1,0.99512
9.7,25.0,0.655,7.0,2.1,0.074,8.0,3.37,0.55,0.16,0.99606
9.8,91.0,0.63,7.5,2.0,0.083,17.0,3.26,0.58,0.27,0.99616
11.1,25.0,0.38,6.4,2.2,0.038,15.0,3.44,0.65,0.14,0.99514
10.9,68.0,0.5,10.6,2.6,0.119,34.0,3.23,0.72,0.45,0.99708
10.1,60.0,0.29,7.6,2.7,0.092,25.0,3.31,0.61,0.49,0.9971
10.9,50.0,0.39,9.0,1.3,0.044,25.0,3.2,0.83,0.4,0.99478
12.7,47.0,0.47,13.0,4.3,0.085,6.0,3.3,0.68,0.49,1.0021
9.5,27.0,0.63,7.7,1.9,0.076,15.0,3.32,0.54,0.08,0.9967
11.8,15.0,0.28,8.5,1.7,0.061,6.0,3.3,0.74,0.35,0.99524
10.5,37.0,0.49,7.4,3.0,0.077,16.0,3.37,0.51,0.19,0.9966
9.5,42.0,0.61,8.8,2.4,0.067,10.0,3.19,0.59,0.14,0.9969
10.0,62.0,0.725,8.0,2.8,0.083,10.0,3.35,0.56,0.24,0.99685
9.6,63.0,0.745,8.4,1.9,0.09,16.0,3.19,0.82,0.11,0.9965
12.6,42.0,0.41,8.7,6.2,0.078,25.0,3.24,0.77,0.41,0.9953
13.3,25.0,0.41,9.2,2.5,0.055,12.0,3.34,0.79,0.5,0.9952
11.2,68.0,0.28,8.0,1.8,0.081,28.0,3.36,0.66,0.44,0.99501
10.2,15.0,0.46,12.5,2.0,0.071,6.0,2.99,0.87,0.63,0.9988
10.3,22.0,0.59,8.9,2.3,0.095,5.0,3.37,0.58,0.39,0.9986
12.5,17.0,0.27,9.9,5.0,0.082,9.0,3.19,0.52,0.49,0.99484
10.0,28.0,0.31,6.4,1.4,0.066,15.0,3.42,0.7,0.09,0.99459
9.9,63.0,0.765,6.9,2.3,0.063,35.0,3.57,0.78,0.02,0.9975
13.0,38.0,0.37,12.0,4.2,0.066,7.0,3.22,0.6,0.76,1.0004
11.7,19.0,0.4,9.9,6.7,0.097,6.0,3.27,0.82,0.53,0.9986
12.1,13.0,0.33,8.8,5.9,0.073,7.0,3.3,0.62,0.41,0.99658
12.0,19.0,0.33,8.7,3.3,0.063,10.0,3.3,0.73,0.38,0.99468
9.8,10.0,0.9,7.6,2.5,0.079,5.0,3.39,0.56,0.06,0.9967
10.5,63.0,0.43,7.7,2.6,0.073,29.0,3.37,0.58,0.25,0.99615
10.9,60.0,0.96,7.7,2.0,0.047,15.0,3.36,0.44,0.2,0.9955
11.2,33.0,0.98,6.3,2.0,0.057,15.0,3.6,0.46,0.01,0.99488
10.8,21.0,0.24,10.4,1.8,0.075,6.0,3.25,1.02,0.46,0.9976
9.9,20.0,0.715,9.3,2.1,0.07,5.0,3.12,0.59,0.24,0.9966
11.4,12.0,0.38,7.5,2.3,0.106,5.0,3.36,0.55,0.57,0.99605
9.9,34.0,0.67,10.7,2.7,0.107,17.0,3.28,0.98,0.22,1.0004
11.7,29.0,0.42,10.5,2.95,0.116,12.0,3.24,0.75,0.66,0.997
10.2,30.0,0.49,6.9,2.3,0.074,12.0,3.42,0.58,0.1,0.9959
10.4,35.0,0.84,12.8,2.4,0.088,13.0,3.1,0.6,0.63,0.9997
9.6,29.0,0.63,7.1,2.0,0.083,8.0,3.67,0.73,0.06,0.99855
10.75,38.0,0.855,6.7,1.9,0.064,29.0,3.3,0.56,0.02,0.99472
9.9,59.0,0.615,5.6,1.6,0.089,16.0,3.58,0.52,0.0,0.9943
9.5,35.0,0.52,7.5,1.9,0.085,12.0,3.38,0.62,0.16,0.9968
9.5,45.0,0.66,7.1,3.9,0.086,17.0,3.46,0.54,0.0,0.9976
9.5,98.0,0.64,7.4,5.4,0.168,52.0,3.28,0.5,0.17,0.99736
10.0,42.0,0.615,12.8,5.8,0.083,7.0,3.07,0.73,0.66,1.0022
11.0,53.0,0.66,11.2,2.5,0.085,16.0,3.06,0.72,0.24,0.9993
10.9,11.0,0.725,7.2,4.65,0.086,4.0,3.41,0.39,0.05,0.9962
9.8,29.0,0.39,8.2,1.5,0.058,10.0,3.26,0.74,0.38,0.9962
9.4,40.0,0.54,9.9,2.3,0.071,16.0,3.39,0.62,0.45,0.9991
10.9,9.0,1.58,7.6,2.1,0.137,5.0,3.5,0.4,0.0,0.99476
12.4,28.0,0.395,5.9,2.4,0.056,14.0,3.62,0.67,0.13,0.99362
11.3,27.0,0.24,8.8,1.7,0.055,13.0,3.14,0.59,0.35,0.99394
12.6,40.0,0.58,6.6,2.4,0.069,19.0,3.38,0.66,0.02,0.99387
10.8,12.0,0.885,6.5,2.3,0.166,6.0,3.56,0.51,0.0,0.99551
9.7,104.0,0.58,9.0,2.8,0.075,9.0,3.23,0.57,0.25,0.99779
12.8,11.0,0.66,5.6,2.2,0.087,3.0,3.71,0.63,0.0,0.99378
11.9,27.0,0.7,6.2,5.1,0.076,13.0,3.54,0.6,0.15,0.99622
9.7,38.0,0.64,9.1,3.1,0.095,13.0,3.28,0.59,0.23,0.9998
9.4,135.0,0.47,8.6,3.0,0.076,30.0,3.3,0.53,0.3,0.9976
10.0,28.0,0.86,9.5,1.9,0.079,13.0,3.25,0.62,0.26,0.99712
10.7,30.0,0.785,6.8,2.4,0.104,14.0,3.52,0.55,0.0,0.9966
11.4,55.0,0.54,7.0,2.1,0.079,39.0,3.39,0.84,0.0,0.9956
10.5,128.0,0.43,7.1,5.5,0.071,28.0,3.42,0.71,0.42,0.9973
9.8,113.0,0.655,8.3,2.3,0.083,15.0,3.17,0.66,0.12,0.9966
10.9,55.0,0.5,9.6,2.8,0.116,26.0,3.18,0.68,0.36,0.99722
13.5666666666667,89.0,0.47,5.3,2.2,0.048,16.0,3.54,0.88,0.11,0.99182
10.0,49.0,0.38,9.6,2.5,0.096,16.0,3.19,0.7,0.31,0.9982
11.2,36.0,0.58,7.8,2.1,0.102,17.0,3.24,0.53,0.13,0.9944
10.0,14.0,0.645,10.2,1.8,0.053,5.0,3.17,0.42,0.36,0.9982
9.4,34.0,0.7,7.4,1.9,0.076,11.0,3.51,0.56,0.0,0.9978
10.1,52.0,0.34,7.2,2.0,0.071,30.0,3.44,0.58,0.24,0.99576
9.7,21.0,0.27,13.4,2.6,0.082,6.0,3.16,0.67,0.62,1.0002
9.8,30.0,0.585,8.5,2.1,0.078,5.0,3.2,0.48,0.18,0.9967
9.3,77.0,0.735,7.1,1.9,0.1,15.0,3.27,0.64,0.16,0.9966
12.5,28.0,0.645,5.2,2.15,0.08,15.0,3.78,0.61,0.0,0.99444
11.4,11.0,0.46,6.2,1.6,0.073,7.0,3.61,0.54,0.17,0.99425
9.6,19.0,0.955,8.8,1.8,0.075,5.0,3.3,0.44,0.05,0.99616
12.2,53.0,0.39,6.4,3.3,0.046,12.0,3.36,0.62,0.33,0.99294
10.8,39.0,0.63,6.9,2.4,0.076,14.0,3.34,0.53,0.01,0.99522
11.2,30.0,0.48,6.1,1.7,0.078,18.0,3.45,0.54,0.09,0.99402
9.3,53.0,0.44,6.6,2.1,0.076,22.0,3.32,0.62,0.15,0.9957
9.0,42.0,0.55,7.3,1.6,0.072,17.0,3.37,0.48,0.03,0.9956
10.9,36.0,0.42,7.0,2.3,0.071,18.0,3.39,0.56,0.19,0.99476
10.2,29.0,0.45,8.0,2.2,0.094,16.0,3.21,0.49,0.23,0.9962
9.2,67.0,0.39,7.4,2.0,0.082,14.0,3.34,0.55,0.48,0.9972
12.0,25.0,0.49,7.4,2.1,0.071,14.0,3.35,0.63,0.27,0.99388
11.3,54.0,0.68,6.3,3.7,0.103,32.0,3.51,0.66,0.01,0.99586
11.2,22.0,0.51,6.9,2.0,0.072,13.0,3.4,0.84,0.23,0.99438
12.1,9.0,0.34,10.2,2.1,0.052,5.0,3.2,0.69,0.48,0.99458
9.4,18.0,0.58,6.2,1.6,0.065,8.0,3.56,0.84,0.0,0.9966
10.2,62.0,0.59,10.0,2.2,0.09,26.0,3.18,0.63,0.31,0.9994
12.9,42.0,0.38,7.2,2.8,0.068,23.0,3.34,0.72,0.38,0.99356
10.8,66.0,0.47,10.8,2.1,0.171,27.0,3.17,0.76,0.43,0.9982
9.7,85.0,0.31,8.9,2.0,0.111,26.0,3.26,0.53,0.57,0.9971
10.8,38.0,0.26,7.7,1.7,0.059,20.0,3.29,0.47,0.3,0.9949
10.0,19.0,0.7,8.8,1.7,0.069,8.0,3.31,0.53,0.0,0.99701
9.2,68.0,0.79,7.6,2.3,0.087,21.0,3.12,0.44,0.21,0.9955
11.3,18.0,0.44,6.6,2.2,0.063,9.0,3.42,0.69,0.09,0.99444
10.2,52.0,0.69,7.1,2.1,0.063,42.0,3.42,0.6,0.08,0.99608
9.9,136.0,0.49,8.6,1.9,0.11,20.0,2.93,1.95,0.28,0.9972
12.2,40.0,0.4,9.0,2.0,0.058,15.0,3.22,0.6,0.41,0.99414
12.5,70.0,0.58,6.1,2.5,0.044,16.0,3.46,0.65,0.23,0.99352
9.0,15.0,0.7,8.7,2.5,0.226,5.0,3.32,0.6,0.24,0.9991
10.0,32.0,1.005,7.7,2.1,0.102,11.0,3.23,0.48,0.15,0.99604
11.5,44.0,0.32,10.9,1.8,0.132,17.0,3.28,0.77,0.52,0.99734
9.2,22.0,0.5,7.0,2.0,0.07,3.0,3.25,0.63,0.25,0.9963
10.7,37.0,0.46,7.1,2.8,0.076,15.0,3.36,0.49,0.14,0.99624
10.0,54.0,0.59,7.8,2.3,0.076,17.0,3.43,0.59,0.18,0.9975
10.0,13.0,0.33,7.2,1.7,0.061,3.0,3.23,1.1,0.33,0.996
11.0,20.0,0.42,11.5,2.6,0.077,8.0,3.09,0.53,0.48,0.99852
11.9,14.0,0.6,12.5,4.3,0.1,5.0,3.25,0.74,0.49,1.001
11.8,10.0,0.38,10.4,2.1,0.104,6.0,3.12,0.65,0.46,0.99664
9.2,39.0,0.645,7.2,1.9,0.097,15.0,3.37,0.58,0.0,0.99675
11.0,14.0,0.845,8.3,2.2,0.07,5.0,3.32,0.58,0.01,0.9967
12.2,12.0,0.8,6.6,7.8,0.079,6.0,3.52,0.5,0.03,0.9963
9.1,27.0,0.69,7.7,2.7,0.075,15.0,3.26,0.61,0.05,0.9974
12.0,26.0,0.31,8.4,3.1,0.194,14.0,3.22,0.78,0.29,0.99536
11.8,21.0,0.42,10.0,3.4,0.107,7.0,3.26,0.93,0.5,0.9979
10.1,40.0,0.55,6.9,2.2,0.076,19.0,3.41,0.59,0.15,0.9961
9.4,114.0,0.58,8.0,3.2,0.066,21.0,3.22,0.54,0.28,0.9973
9.4,35.0,0.71,7.1,1.9,0.08,14.0,3.47,0.55,0.0,0.9972
9.6,35.0,0.655,9.3,2.0,0.096,5.0,3.25,0.42,0.26,0.99738
11.0,31.0,0.53,6.4,3.9,0.123,14.0,3.5,0.67,0.09,0.9968
9.5,21.0,0.67,7.4,1.6,0.186,5.0,3.39,0.54,0.12,0.996
12.8,10.0,0.28,8.2,2.4,0.052,4.0,3.33,0.7,0.4,0.99356
10.4,51.0,0.2,8.2,2.5,0.076,31.0,3.53,0.81,0.43,0.99672
10.5,12.0,0.36,9.2,1.6,0.062,5.0,3.2,0.67,0.34,0.99667
10.9,10.0,0.31,11.1,2.2,0.06,3.0,3.02,0.83,0.53,0.99572
9.9,21.0,0.56,9.2,1.6,0.078,10.0,3.15,0.49,0.18,0.99576
9.8,58.0,0.46,8.5,2.25,0.078,32.0,3.33,0.54,0.31,0.998
11.0,17.0,0.46,9.5,6.3,0.064,5.0,3.21,0.73,0.49,0.9988
12.1,26.0,0.6,6.3,1.6,0.048,12.0,3.55,0.51,0.1,0.99306
9.8,93.0,0.92,9.2,2.6,0.087,12.0,3.48,0.54,0.24,0.9998
9.4,145.0,0.885,9.5,2.3,0.084,31.0,3.24,0.53,0.27,0.9978
11.0,33.0,0.64,8.0,2.4,0.094,5.0,3.37,0.58,0.22,0.99612
11.6,53.0,0.58,6.6,2.0,0.062,37.0,3.35,0.76,0.02,0.99374
10.0,14.0,0.5,9.9,2.3,0.103,6.0,3.34,0.52,0.24,0.9978
10.9,9.0,0.685,7.5,2.5,0.058,5.0,3.38,0.55,0.07,0.99632
12.3,16.0,0.42,9.7,2.1,0.074,5.0,3.27,0.74,0.46,0.99649
11.0,46.0,0.64,6.1,2.4,0.069,26.0,3.47,0.45,0.02,0.99358
12.0,24.0,0.44,10.2,4.1,0.092,11.0,3.29,0.99,0.58,0.99745
9.4,122.0,0.48,9.0,2.8,0.084,21.0,3.32,0.62,0.32,0.9984
9.3,25.0,0.53,10.3,2.5,0.063,6.0,3.12,0.59,0.48,0.9998
10.5,124.0,0.58,7.0,1.9,0.091,34.0,3.44,0.48,0.12,0.9956
11.0,31.0,0.73,10.0,2.3,0.059,15.0,3.15,0.57,0.43,0.9966
9.3,56.0,0.56,8.1,1.7,0.368,16.0,3.11,1.28,0.28,0.9968
9.0,24.0,0.62,7.0,1.8,0.076,8.0,3.48,0.53,0.08,0.9978
9.6,48.0,0.775,9.1,2.2,0.079,12.0,3.18,0.51,0.22,0.9976
9.5,14.0,0.41,10.3,2.4,0.213,6.0,3.19,0.62,0.42,0.9994
9.5,45.0,0.4,7.9,1.8,0.157,2.0,3.31,0.91,0.3,0.99727
12.9,25.0,0.605,5.6,2.4,0.073,19.0,3.56,0.55,0.05,0.99258
9.7,87.0,0.61,9.3,3.4,0.09,25.0,3.24,0.62,0.26,0.99975
9.9,49.0,0.38,8.0,1.8,0.078,12.0,3.37,0.52,0.06,0.99625
12.3,33.0,0.47,6.3,1.4,0.055,27.0,3.45,0.48,0.0,0.9922
10.0,40.0,0.54,8.3,1.9,0.077,11.0,3.39,0.61,0.28,0.9978
9.8,45.0,0.74,7.3,1.7,0.094,10.0,3.24,0.5,0.08,0.99576
9.8,92.0,0.52,7.1,2.6,0.076,21.0,3.5,0.6,0.03,0.99745
9.5,79.0,0.4,7.3,1.7,0.08,33.0,3.41,0.65,0.3,0.9969
10.2,73.0,0.51,7.6,2.8,0.11,33.0,3.17,0.63,0.15,0.9955
9.2,15.0,0.49,11.7,2.2,0.083,5.0,3.19,0.43,0.49,1.0
10.5,92.0,0.31,5.6,13.9,0.074,23.0,3.39,0.48,0.78,0.99677
9.1,119.0,0.625,8.3,1.5,0.08,27.0,3.16,1.12,0.2,0.9972
9.3,42.0,0.73,7.2,2.5,0.076,16.0,3.44,0.52,0.02,0.9972
9.2,43.0,0.675,8.3,2.1,0.084,11.0,3.31,0.53,0.26,0.9976
10.0333333333333,28.0,0.475,11.6,1.4,0.091,6.0,3.07,0.65,0.4,0.99704
10.5,52.0,0.48,8.8,3.3,0.092,26.0,3.31,0.53,0.41,0.9982
10.8,29.0,0.3,8.0,1.6,0.081,16.0,3.3,0.78,0.63,0.99588
12.0,24.0,0.35,8.9,3.6,0.11,12.0,3.23,0.7,0.4,0.99549
9.8,12.0,0.62,7.1,1.3,0.07,5.0,3.17,0.48,0.06,0.9942
9.7,82.0,0.37,7.4,2.6,0.082,18.0,3.33,0.68,0.43,0.99708
10.4,74.0,0.77,9.6,2.9,0.082,30.0,3.3,0.64,0.12,0.99865
10.4,27.0,0.57,7.5,2.6,0.089,14.0,3.3,0.59,0.08,0.99592
9.8,41.0,0.38,12.6,2.6,0.088,10.0,3.17,0.68,0.66,1.001
9.7,87.0,0.61,7.1,2.5,0.081,17.0,3.48,0.6,0.02,0.99745
9.3,102.0,0.73,7.3,1.9,0.108,18.0,3.26,0.59,0.24,0.9967
12.9,12.0,0.69,6.4,1.65,0.055,7.0,3.47,0.53,0.0,0.99162
9.1,53.0,0.52,7.6,3.0,0.067,12.0,3.36,0.57,0.12,0.9971
10.2,20.0,0.61,7.7,2.4,0.083,6.0,3.29,0.6,0.18,0.9963
9.55,11.0,0.675,8.7,1.6,0.09,4.0,3.31,0.65,0.1,0.99745
10.2,28.0,0.44,8.2,2.3,0.063,10.0,3.25,0.53,0.24,0.99613
10.3,44.0,0.53,6.5,2.0,0.063,29.0,3.38,0.83,0.06,0.99489
10.5,85.0,1.02,5.0,1.4,0.045,41.0,3.75,0.48,0.04,0.9938
10.0,16.0,1.0,7.2,3.0,0.102,7.0,3.43,0.46,0.0,0.99586
9.4,25.0,0.53,9.0,1.9,0.171,6.0,3.27,0.61,0.49,0.9975
